BSSIDLabel,RSSLabel,SSIDLabel,finLabel
06:69:6c:0a:bf:02,-56,HUST_WIRELESS,1
20:76:93:3a:ae:78,-71,HC5761,1
4a:69:6c:07:a1:e7,-66,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:25,-72,HUST_WIRELESS_AUTO,1
24:05:0f:9b:e7:63,-77,zqxll2003,1
08:57:00:7b:63:16,-73,TL-WTR9500,1
94:53:30:11:ac:12,-85,HP-Print-12-LaserJet Pro MFP,1
88:25:93:58:06:63,-85,TP-LINK_580663,1
00:0f:e2:db:26:20,-72,ChinaNet,1
4a:69:6c:07:a1:e5,-65,HUST_WIRELESS,1
06:69:6c:0a:bf:06,-72,HUST_WIRELESS,1
f8:da:0c:73:0f:e7,-72,yang,1
0e:69:6c:0a:bf:06,-72,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:23,-72,HUST_WIRELESS,1
6a:69:6c:05:c3:09,-91,HUST_WIRELESS_AUTO,1
7a:69:6c:07:96:78,-93,HUST_WIRELESS,1
4a:cf:5e:50:5f:67,-91,ACynthia_GY,1
0e:69:6c:0b:21:d2,-87,HUST_WIRELESS_AUTO,1
06:69:6c:0b:21:d2,-88,HUST_WIRELESS,1
6a:69:6c:05:c3:07,-90,HUST_WIRELESS,1
0e:69:6c:0a:bf:02,-54,HUST_WIRELESS_AUTO,1
aa:69:6c:07:90:fb,-91,HUST_WIRELESS,1
ea:69:6c:07:92:41,-92,HUST_WIRELESS_AUTO,1
fc:d7:33:bc:81:0e,-91,1604,1
ea:69:6c:07:92:4f,-92,HUST_WIRELESS,1
42:49:0f:06:46:77,-90,DIRECT-77-HP M427 LaserJet,1
b0:d5:9d:8c:2d:b1,-93,360免费WiFi-B1,1
da:69:6c:07:8e:90,-93,HUST_WIRELESS_AUTO,1
00:0f:e2:98:15:10,-93,ChinaNet,1
da:69:6c:07:8e:9e,-93,HUST_WIRELESS,1
60:0b:03:09:08:31,-82,HUST_WIRELESS_AUTO,1
60:0b:03:0e:29:b1,-85,HUST_WIRELESS_AUTO,1
fa:69:6c:07:93:22,-92,HUST_WIRELESS_AUTO,1
60:0b:03:0e:29:b0,-85,HUST_WIRELESS,1
06:69:6c:0a:bf:02,-49,HUST_WIRELESS,2
20:76:93:3a:ae:78,-67,HC5761,2
4a:69:6c:07:a1:e7,-71,HUST_WIRELESS_AUTO,2
2a:69:6c:05:c5:25,-73,HUST_WIRELESS_AUTO,2
24:05:0f:9b:e7:63,-87,zqxll2003,2
88:25:93:58:06:63,-80,TP-LINK_580663,2
00:0f:e2:db:26:20,-73,ChinaNet,2
4a:69:6c:07:a1:e5,-73,HUST_WIRELESS,2
06:69:6c:0a:bf:06,-66,HUST_WIRELESS,2
0e:69:6c:0a:bf:06,-66,HUST_WIRELESS_AUTO,2
2a:69:6c:05:c5:23,-74,HUST_WIRELESS,2
6a:69:6c:05:c3:07,-93,HUST_WIRELESS,2
0e:69:6c:0a:bf:02,-50,HUST_WIRELESS_AUTO,2
4a:cf:5e:50:5f:67,-88,ACynthia_GY,2
6a:69:6c:05:c3:09,-91,HUST_WIRELESS_AUTO,2
06:69:6c:0a:be:fa,-82,HUST_WIRELESS,2
94:53:30:11:ac:12,-80,HP-Print-12-LaserJet Pro MFP,2
00:87:46:20:fb:02,-83,360WiFi-FB02,2
42:49:0f:06:46:77,-89,DIRECT-77-HP M427 LaserJet,2
02:c2:c6:c4:41:d1,-77,DIRECT-sKHD-MIBOOKmsHD,2
a8:57:4e:4d:5f:40,-90,511,2
0e:69:6c:0b:21:d2,-85,HUST_WIRELESS_AUTO,2
06:69:6c:0b:21:d2,-86,HUST_WIRELESS,2
06:69:6c:0b:22:8a,-88,HUST_WIRELESS,2
f8:da:0c:73:0f:e7,-72,yang,2
fa:69:6c:07:93:22,-93,HUST_WIRELESS_AUTO,2
fa:69:6c:07:93:20,-93,HUST_WIRELESS,2
0e:69:6c:0a:c0:86,-87,HUST_WIRELESS_AUTO,2
08:57:00:7b:63:16,-91,TL-WTR9500,2
06:69:6c:0a:c0:86,-87,HUST_WIRELESS,2
60:0b:03:0e:2b:b1,-86,HUST_WIRELESS_AUTO,2
b0:d5:9d:92:64:90,-91,315,2
b0:d5:9d:8c:2d:b1,-95,360免费WiFi-B1,2
60:0b:03:0e:2b:b0,-86,HUST_WIRELESS,2
06:69:6c:0a:bf:02,-55,HUST_WIRELESS,3
20:76:93:3a:ae:78,-72,HC5761,3
4a:69:6c:07:a1:e7,-58,HUST_WIRELESS_AUTO,3
2a:69:6c:05:c5:25,-67,HUST_WIRELESS_AUTO,3
00:0f:e2:db:26:20,-78,ChinaNet,3
4a:69:6c:07:a1:e5,-58,HUST_WIRELESS,3
2a:69:6c:05:c5:23,-66,HUST_WIRELESS,3
0e:69:6c:0a:bf:06,-63,HUST_WIRELESS_AUTO,3
06:69:6c:0a:bf:06,-63,HUST_WIRELESS,3
88:25:93:58:06:63,-85,TP-LINK_580663,3
08:57:00:7b:63:16,-76,TL-WTR9500,3
4c:e6:76:c9:fc:00,-84,HongboJiangOffice,3
60:0b:03:0e:2b:b1,-83,HUST_WIRELESS_AUTO,3
60:0b:03:0e:2b:b0,-83,HUST_WIRELESS,3
aa:69:6c:07:90:fd,-82,HUST_WIRELESS_AUTO,3
aa:69:6c:07:90:fb,-83,HUST_WIRELESS,3
94:53:30:11:ac:12,-88,HP-Print-12-LaserJet Pro MFP,3
f8:da:0c:73:0f:e7,-72,yang,3
7a:69:6c:07:96:7a,-88,HUST_WIRELESS_AUTO,3
fa:69:6c:07:93:20,-91,HUST_WIRELESS,3
60:0b:03:09:08:31,-78,HUST_WIRELESS_AUTO,3
4a:cf:5e:50:5f:67,-83,ACynthia_GY,3
7a:69:6c:07:96:78,-88,HUST_WIRELESS,3
24:05:0f:9b:e7:63,-83,zqxll2003,3
b0:d5:9d:8c:2d:b1,-88,360免费WiFi-B1,3
aa:69:6c:05:c4:5d,-95,HUST_WIRELESS_AUTO,3
06:69:6c:0b:21:d2,-87,HUST_WIRELESS,3
aa:69:6c:05:c4:5b,-95,HUST_WIRELESS,3
0e:69:6c:0a:bf:02,-55,HUST_WIRELESS_AUTO,3
0e:69:6c:0a:be:fa,-82,HUST_WIRELESS_AUTO,3
0e:69:6c:0b:22:8a,-87,HUST_WIRELESS_AUTO,3
06:69:6c:0b:22:8a,-87,HUST_WIRELESS,3
42:49:0f:06:46:77,-82,DIRECT-77-HP M427 LaserJet,3
b0:d5:9d:92:64:90,-84,315,3
06:69:6c:0a:bf:02,-57,HUST_WIRELESS,4
20:76:93:3a:ae:78,-66,HC5761,4
4a:69:6c:07:a1:e7,-49,HUST_WIRELESS_AUTO,4
2a:69:6c:05:c5:25,-74,HUST_WIRELESS_AUTO,4
00:0f:e2:db:26:20,-73,ChinaNet,4
4a:69:6c:07:a1:e5,-49,HUST_WIRELESS,4
2a:69:6c:05:c5:23,-73,HUST_WIRELESS,4
0e:69:6c:0a:bf:06,-66,HUST_WIRELESS_AUTO,4
06:69:6c:0a:bf:06,-65,HUST_WIRELESS,4
88:25:93:58:06:63,-82,TP-LINK_580663,4
08:57:00:7b:63:16,-73,TL-WTR9500,4
aa:69:6c:07:90:fd,-92,HUST_WIRELESS_AUTO,4
aa:69:6c:07:90:fb,-91,HUST_WIRELESS,4
24:05:0f:9b:e7:63,-76,zqxll2003,4
b0:d5:9d:92:64:90,-87,315,4
0e:69:6c:0a:bf:02,-57,HUST_WIRELESS_AUTO,4
06:69:6c:0a:be:fa,-83,HUST_WIRELESS,4
0e:69:6c:0a:be:fa,-81,HUST_WIRELESS_AUTO,4
4a:cf:5e:50:5f:67,-84,ACynthia_GY,4
42:49:0f:06:46:77,-78,DIRECT-77-HP M427 LaserJet,4
60:0b:03:0e:2b:b1,-84,HUST_WIRELESS_AUTO,4
02:c2:c6:c4:41:d1,-88,DIRECT-sKHD-MIBOOKmsHD,4
fc:d7:33:bc:81:0e,-95,1604,4
00:0f:e2:98:15:10,-93,ChinaNet,4
94:53:30:11:ac:12,-81,HP-Print-12-LaserJet Pro MFP,4
06:69:6c:0a:bf:02,-47,HUST_WIRELESS,5
20:76:93:3a:ae:78,-69,HC5761,5
4a:69:6c:07:a1:e7,-62,HUST_WIRELESS_AUTO,5
2a:69:6c:05:c5:25,-59,HUST_WIRELESS_AUTO,5
00:0f:e2:db:26:20,-65,ChinaNet,5
4a:69:6c:07:a1:e5,-62,HUST_WIRELESS,5
2a:69:6c:05:c5:23,-60,HUST_WIRELESS,5
0e:69:6c:0a:bf:06,-69,HUST_WIRELESS_AUTO,5
06:69:6c:0a:bf:06,-69,HUST_WIRELESS,5
08:57:00:7b:63:16,-78,TL-WTR9500,5
24:05:0f:9b:e7:63,-82,zqxll2003,5
42:49:0f:06:46:77,-85,DIRECT-77-HP M427 LaserJet,5
7a:69:6c:07:96:78,-83,HUST_WIRELESS,5
88:25:93:58:06:63,-78,TP-LINK_580663,5
0e:69:6c:0a:bf:02,-46,HUST_WIRELESS_AUTO,5
0e:69:6c:0b:21:d2,-88,HUST_WIRELESS_AUTO,5
94:53:30:11:ac:12,-75,HP-Print-12-LaserJet Pro MFP,5
4c:e6:76:c9:fc:00,-83,HongboJiangOffice,5
a8:57:4e:4d:5f:40,-83,511,5
f8:da:0c:73:0f:e7,-72,yang,5
0e:69:6c:0a:be:fa,-80,HUST_WIRELESS_AUTO,5
f0:b4:29:3c:68:ef,-90,Seven,5
06:69:6c:0a:be:fa,-81,HUST_WIRELESS,5
38:22:d6:aa:15:30,-89,ChinaNet,5
60:0b:03:0e:2b:b1,-84,HUST_WIRELESS_AUTO,5
b0:d5:9d:8c:2d:b1,-86,360免费WiFi-B1,5
7c:d1:c3:76:79:fa,-93,ADESKTOP-ELSA6EU,5
6a:69:6c:05:c3:09,-93,HUST_WIRELESS_AUTO,5
6a:69:6c:05:c3:07,-90,HUST_WIRELESS,5
4a:cf:5e:50:5f:67,-86,ACynthia_GY,5
fc:d7:33:bc:81:0e,-92,1604,5
00:87:46:20:fb:02,-84,360WiFi-FB02,5
06:69:6c:0a:bf:02,-56,HUST_WIRELESS,6
20:76:93:3a:ae:78,-74,HC5761,6
4a:69:6c:07:a1:e7,-59,HUST_WIRELESS_AUTO,6
2a:69:6c:05:c5:25,-66,HUST_WIRELESS_AUTO,6
00:0f:e2:db:26:20,-74,ChinaNet,6
4a:69:6c:07:a1:e5,-59,HUST_WIRELESS,6
2a:69:6c:05:c5:23,-66,HUST_WIRELESS,6
0e:69:6c:0a:bf:06,-65,HUST_WIRELESS_AUTO,6
06:69:6c:0a:bf:06,-65,HUST_WIRELESS,6
24:05:0f:9b:e7:63,-87,zqxll2003,6
0e:69:6c:0a:bf:02,-56,HUST_WIRELESS_AUTO,6
08:57:00:7b:63:16,-81,TL-WTR9500,6
f8:da:0c:73:0f:e7,-77,yang,6
94:53:30:11:ac:12,-88,HP-Print-12-LaserJet Pro MFP,6
88:25:93:58:06:63,-83,TP-LINK_580663,6
a8:57:4e:4d:5f:40,-85,511,6
60:0b:03:0e:2b:b1,-79,HUST_WIRELESS_AUTO,6
60:0b:03:09:08:30,-84,HUST_WIRELESS,6
aa:69:6c:07:90:fd,-85,HUST_WIRELESS_AUTO,6
00:87:46:20:fb:02,-92,360WiFi-FB02,6
aa:69:6c:07:90:fb,-86,HUST_WIRELESS,6
60:0b:03:09:08:31,-84,HUST_WIRELESS_AUTO,6
4a:cf:5e:50:5f:67,-84,ACynthia_GY,6
2a:69:6c:07:9e:45,-90,HUST_WIRELESS_AUTO,6
f0:b4:29:3c:68:ef,-91,Seven,6
2a:69:6c:07:9e:43,-92,HUST_WIRELESS,6
02:c2:c6:c4:41:d1,-83,DIRECT-sKHD-MIBOOKmsHD,6
4c:e6:76:c9:fc:00,-84,HongboJiangOffice,6
ea:69:6c:07:91:f1,-94,HUST_WIRELESS_AUTO,6
06:69:6c:0b:21:d2,-85,HUST_WIRELESS,6
4a:69:6c:07:96:55,-93,HUST_WIRELESS,6
0e:69:6c:0a:be:fa,-85,HUST_WIRELESS_AUTO,6
6a:69:6c:05:c3:09,-86,HUST_WIRELESS_AUTO,6
42:49:0f:06:46:77,-88,DIRECT-77-HP M427 LaserJet,6
64:d9:54:66:c5:65,-90,Baidu7107,6
06:69:6c:0a:bf:02,-60,HUST_WIRELESS,7
20:76:93:3a:ae:78,-65,HC5761,7
4a:69:6c:07:a1:e7,-61,HUST_WIRELESS_AUTO,7
2a:69:6c:05:c5:25,-70,HUST_WIRELESS_AUTO,7
00:0f:e2:db:26:20,-73,ChinaNet,7
4a:69:6c:07:a1:e5,-61,HUST_WIRELESS,7
2a:69:6c:05:c5:23,-70,HUST_WIRELESS,7
0e:69:6c:0a:bf:06,-69,HUST_WIRELESS_AUTO,7
06:69:6c:0a:bf:06,-71,HUST_WIRELESS,7
24:05:0f:9b:e7:63,-74,zqxll2003,7
7a:69:6c:07:96:78,-88,HUST_WIRELESS,7
88:25:93:58:06:63,-83,TP-LINK_580663,7
7a:69:6c:07:96:7a,-87,HUST_WIRELESS_AUTO,7
0e:69:6c:0a:bf:02,-61,HUST_WIRELESS_AUTO,7
42:49:0f:06:46:77,-81,DIRECT-77-HP M427 LaserJet,7
08:57:00:7b:63:16,-74,TL-WTR9500,7
60:0b:03:0e:2b:b1,-84,HUST_WIRELESS_AUTO,7
fa:69:6c:07:93:20,-91,HUST_WIRELESS,7
f8:da:0c:73:0f:e7,-75,yang,7
4c:e6:76:c9:fc:00,-83,HongboJiangOffice,7
