BSSIDLabel,RSSLabel,RoomLabel,SSIDLabel,finLabel
06:69:6c:0a:bf:02,-55,1,HUST_WIRELESS,1
20:76:93:3a:ae:78,-75,1,HC5761,1
4a:69:6c:07:a1:e7,-69,1,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:25,-71,1,HUST_WIRELESS_AUTO,1
24:05:0f:9b:e7:63,-77,1,zqxll2003,1
08:57:00:7b:63:16,-73,1,TL-WTR9500,1
94:53:30:11:ac:12,-85,1,HP-Print-12-LaserJet Pro MFP,1
88:25:93:58:06:63,-85,1,TP-LINK_580663,1
00:0f:e2:db:26:20,-73,1,ChinaNet,1
4a:69:6c:07:a1:e5,-69,1,HUST_WIRELESS,1
06:69:6c:0a:bf:06,-72,1,HUST_WIRELESS,1
f8:da:0c:73:0f:e7,-73,1,yang,1
0e:69:6c:0a:bf:06,-72,1,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:23,-71,1,HUST_WIRELESS,1
6a:69:6c:05:c3:09,-91,1,HUST_WIRELESS_AUTO,1
7a:69:6c:07:96:78,-93,1,HUST_WIRELESS,1
4a:cf:5e:50:5f:67,-91,1,ACynthia_GY,1
0e:69:6c:0b:21:d2,-87,1,HUST_WIRELESS_AUTO,1
06:69:6c:0b:21:d2,-88,1,HUST_WIRELESS,1
6a:69:6c:05:c3:07,-90,1,HUST_WIRELESS,1
0e:69:6c:0a:bf:02,-54,1,HUST_WIRELESS_AUTO,1
aa:69:6c:07:90:fb,-91,1,HUST_WIRELESS,1
ea:69:6c:07:92:41,-91,1,HUST_WIRELESS_AUTO,1
fc:d7:33:bc:81:0e,-91,1,1604,1
ea:69:6c:07:92:4f,-91,1,HUST_WIRELESS,1
42:49:0f:06:46:77,-90,1,DIRECT-77-HP M427 LaserJet,1
b0:d5:9d:8c:2d:b1,-93,1,360免费WiFi-B1,1
da:69:6c:07:8e:90,-93,1,HUST_WIRELESS_AUTO,1
00:0f:e2:98:15:10,-93,1,ChinaNet,1
da:69:6c:07:8e:9e,-93,1,HUST_WIRELESS,1
60:0b:03:09:08:31,-82,1,HUST_WIRELESS_AUTO,1
60:0b:03:0e:29:b1,-85,1,HUST_WIRELESS_AUTO,1
fa:69:6c:07:93:22,-92,1,HUST_WIRELESS_AUTO,1
60:0b:03:0e:29:b0,-85,1,HUST_WIRELESS,1
06:69:6c:0a:bf:02,-50,1,HUST_WIRELESS,2
20:76:93:3a:ae:78,-72,1,HC5761,2
4a:69:6c:07:a1:e7,-71,1,HUST_WIRELESS_AUTO,2
2a:69:6c:05:c5:25,-73,1,HUST_WIRELESS_AUTO,2
24:05:0f:9b:e7:63,-82,1,zqxll2003,2
88:25:93:58:06:63,-80,1,TP-LINK_580663,2
00:0f:e2:db:26:20,-74,1,ChinaNet,2
4a:69:6c:07:a1:e5,-71,1,HUST_WIRELESS,2
06:69:6c:0a:bf:06,-66,1,HUST_WIRELESS,2
0e:69:6c:0a:bf:06,-66,1,HUST_WIRELESS_AUTO,2
2a:69:6c:05:c5:23,-73,1,HUST_WIRELESS,2
6a:69:6c:05:c3:07,-93,1,HUST_WIRELESS,2
0e:69:6c:0a:bf:02,-50,1,HUST_WIRELESS_AUTO,2
4a:cf:5e:50:5f:67,-88,1,ACynthia_GY,2
6a:69:6c:05:c3:09,-91,1,HUST_WIRELESS_AUTO,2
06:69:6c:0a:be:fa,-82,1,HUST_WIRELESS,2
94:53:30:11:ac:12,-83,1,HP-Print-12-LaserJet Pro MFP,2
00:87:46:20:fb:02,-83,1,360WiFi-FB02,2
42:49:0f:06:46:77,-89,1,DIRECT-77-HP M427 LaserJet,2
02:c2:c6:c4:41:d1,-79,1,DIRECT-sKHD-MIBOOKmsHD,2
a8:57:4e:4d:5f:40,-85,1,511,2
0e:69:6c:0b:21:d2,-85,1,HUST_WIRELESS_AUTO,2
06:69:6c:0b:21:d2,-85,1,HUST_WIRELESS,2
06:69:6c:0b:22:8a,-88,1,HUST_WIRELESS,2
f8:da:0c:73:0f:e7,-72,1,yang,2
fa:69:6c:07:93:22,-91,1,HUST_WIRELESS_AUTO,2
fa:69:6c:07:93:20,-93,1,HUST_WIRELESS,2
0e:69:6c:0a:c0:86,-87,1,HUST_WIRELESS_AUTO,2
08:57:00:7b:63:16,-91,1,TL-WTR9500,2
06:69:6c:0a:c0:86,-87,1,HUST_WIRELESS,2
06:69:6c:0a:bf:02,-55,1,HUST_WIRELESS,3
20:76:93:3a:ae:78,-73,1,HC5761,3
4a:69:6c:07:a1:e7,-57,1,HUST_WIRELESS_AUTO,3
2a:69:6c:05:c5:25,-67,1,HUST_WIRELESS_AUTO,3
00:0f:e2:db:26:20,-78,1,ChinaNet,3
4a:69:6c:07:a1:e5,-57,1,HUST_WIRELESS,3
2a:69:6c:05:c5:23,-67,1,HUST_WIRELESS,3
0e:69:6c:0a:bf:06,-64,1,HUST_WIRELESS_AUTO,3
06:69:6c:0a:bf:06,-64,1,HUST_WIRELESS,3
88:25:93:58:06:63,-85,1,TP-LINK_580663,3
08:57:00:7b:63:16,-80,1,TL-WTR9500,3
4c:e6:76:c9:fc:00,-84,1,HongboJiangOffice,3
60:0b:03:0e:2b:b1,-83,1,HUST_WIRELESS_AUTO,3
60:0b:03:0e:2b:b0,-84,1,HUST_WIRELESS,3
aa:69:6c:07:90:fd,-82,1,HUST_WIRELESS_AUTO,3
aa:69:6c:07:90:fb,-83,1,HUST_WIRELESS,3
94:53:30:11:ac:12,-89,1,HP-Print-12-LaserJet Pro MFP,3
f8:da:0c:73:0f:e7,-72,1,yang,3
7a:69:6c:07:96:7a,-88,1,HUST_WIRELESS_AUTO,3
fa:69:6c:07:93:20,-91,1,HUST_WIRELESS,3
60:0b:03:09:08:31,-78,1,HUST_WIRELESS_AUTO,3
4a:cf:5e:50:5f:67,-84,1,ACynthia_GY,3
4a:69:6c:07:9a:67,-93,1,HUST_WIRELESS_AUTO,3
60:0b:03:09:08:30,-78,1,HUST_WIRELESS,3
7a:69:6c:07:96:78,-88,1,HUST_WIRELESS,3
24:05:0f:9b:e7:63,-83,1,zqxll2003,3
b0:d5:9d:8c:2d:b1,-88,1,360免费WiFi-B1,3
aa:69:6c:05:c4:5d,-95,1,HUST_WIRELESS_AUTO,3
06:69:6c:0b:21:d2,-87,1,HUST_WIRELESS,3
aa:69:6c:05:c4:5b,-95,1,HUST_WIRELESS,3
0e:69:6c:0a:bf:02,-55,1,HUST_WIRELESS_AUTO,3
0e:69:6c:0a:be:fa,-82,1,HUST_WIRELESS_AUTO,3
0e:69:6c:0b:22:8a,-87,1,HUST_WIRELESS_AUTO,3
06:69:6c:0b:22:8a,-87,1,HUST_WIRELESS,3
06:69:6c:0a:bf:02,-57,1,HUST_WIRELESS,4
20:76:93:3a:ae:78,-62,1,HC5761,4
4a:69:6c:07:a1:e7,-49,1,HUST_WIRELESS_AUTO,4
2a:69:6c:05:c5:25,-74,1,HUST_WIRELESS_AUTO,4
00:0f:e2:db:26:20,-74,1,ChinaNet,4
4a:69:6c:07:a1:e5,-50,1,HUST_WIRELESS,4
2a:69:6c:05:c5:23,-73,1,HUST_WIRELESS,4
0e:69:6c:0a:bf:06,-68,1,HUST_WIRELESS_AUTO,4
06:69:6c:0a:bf:06,-67,1,HUST_WIRELESS,4
88:25:93:58:06:63,-82,1,TP-LINK_580663,4
08:57:00:7b:63:16,-73,1,TL-WTR9500,4
aa:69:6c:07:90:fd,-91,1,HUST_WIRELESS_AUTO,4
aa:69:6c:07:90:fb,-91,1,HUST_WIRELESS,4
24:05:0f:9b:e7:63,-78,1,zqxll2003,4
b0:d5:9d:92:64:90,-87,1,315,4
0e:69:6c:0a:bf:02,-57,1,HUST_WIRELESS_AUTO,4
06:69:6c:0a:be:fa,-82,1,HUST_WIRELESS,4
60:0b:03:09:08:31,-85,1,HUST_WIRELESS_AUTO,4
60:0b:03:09:08:30,-85,1,HUST_WIRELESS,4
0e:69:6c:0a:be:fa,-81,1,HUST_WIRELESS_AUTO,4
4a:cf:5e:50:5f:67,-85,1,ACynthia_GY,4
fa:69:6c:07:93:22,-89,1,HUST_WIRELESS_AUTO,4
00:87:46:20:fb:02,-91,1,360WiFi-FB02,4
42:49:0f:06:46:77,-78,1,DIRECT-77-HP M427 LaserJet,4
60:0b:03:0e:2b:b1,-84,1,HUST_WIRELESS_AUTO,4
02:c2:c6:c4:41:d1,-88,1,DIRECT-sKHD-MIBOOKmsHD,4
fc:d7:33:bc:81:0e,-95,1,1604,4
00:0f:e2:98:15:10,-91,1,ChinaNet,4
06:69:6c:0a:bf:02,-47,1,HUST_WIRELESS,5
20:76:93:3a:ae:78,-63,1,HC5761,5
4a:69:6c:07:a1:e7,-62,1,HUST_WIRELESS_AUTO,5
2a:69:6c:05:c5:25,-58,1,HUST_WIRELESS_AUTO,5
00:0f:e2:db:26:20,-65,1,ChinaNet,5
4a:69:6c:07:a1:e5,-60,1,HUST_WIRELESS,5
2a:69:6c:05:c5:23,-59,1,HUST_WIRELESS,5
0e:69:6c:0a:bf:06,-70,1,HUST_WIRELESS_AUTO,5
06:69:6c:0a:bf:06,-69,1,HUST_WIRELESS,5
08:57:00:7b:63:16,-78,1,TL-WTR9500,5
24:05:0f:9b:e7:63,-82,1,zqxll2003,5
42:49:0f:06:46:77,-85,1,DIRECT-77-HP M427 LaserJet,5
7a:69:6c:07:96:78,-83,1,HUST_WIRELESS,5
88:25:93:58:06:63,-77,1,TP-LINK_580663,5
0e:69:6c:0a:bf:02,-46,1,HUST_WIRELESS_AUTO,5
0e:69:6c:0b:21:d2,-88,1,HUST_WIRELESS_AUTO,5
94:53:30:11:ac:12,-75,1,HP-Print-12-LaserJet Pro MFP,5
4c:e6:76:c9:fc:00,-83,1,HongboJiangOffice,5
a8:57:4e:4d:5f:40,-83,1,511,5
f8:da:0c:73:0f:e7,-71,1,yang,5
0e:69:6c:0a:be:fa,-80,1,HUST_WIRELESS_AUTO,5
f0:b4:29:3c:68:ef,-90,1,Seven,5
06:69:6c:0a:be:fa,-81,1,HUST_WIRELESS,5
38:22:d6:aa:15:30,-89,1,ChinaNet,5
60:0b:03:0e:2b:b1,-84,1,HUST_WIRELESS_AUTO,5
b0:d5:9d:8c:2d:b1,-86,1,360免费WiFi-B1,5
7c:d1:c3:76:79:fa,-93,1,ADESKTOP-ELSA6EU,5
6a:69:6c:05:c3:09,-93,1,HUST_WIRELESS_AUTO,5
6a:69:6c:05:c3:07,-90,1,HUST_WIRELESS,5
4a:cf:5e:50:5f:67,-86,1,ACynthia_GY,5
fc:d7:33:bc:81:0e,-92,1,1604,5
06:69:6c:0a:bf:02,-56,1,HUST_WIRELESS,6
20:76:93:3a:ae:78,-77,1,HC5761,6
4a:69:6c:07:a1:e7,-59,1,HUST_WIRELESS_AUTO,6
2a:69:6c:05:c5:25,-65,1,HUST_WIRELESS_AUTO,6
00:0f:e2:db:26:20,-76,1,ChinaNet,6
4a:69:6c:07:a1:e5,-60,1,HUST_WIRELESS,6
2a:69:6c:05:c5:23,-64,1,HUST_WIRELESS,6
0e:69:6c:0a:bf:06,-66,1,HUST_WIRELESS_AUTO,6
06:69:6c:0a:bf:06,-67,1,HUST_WIRELESS,6
24:05:0f:9b:e7:63,-84,1,zqxll2003,6
0e:69:6c:0a:bf:02,-56,1,HUST_WIRELESS_AUTO,6
08:57:00:7b:63:16,-82,1,TL-WTR9500,6
f8:da:0c:73:0f:e7,-77,1,yang,6
94:53:30:11:ac:12,-88,1,HP-Print-12-LaserJet Pro MFP,6
88:25:93:58:06:63,-83,1,TP-LINK_580663,6
a8:57:4e:4d:5f:40,-85,1,511,6
60:0b:03:0e:2b:b1,-79,1,HUST_WIRELESS_AUTO,6
60:0b:03:0e:2b:b0,-79,1,HUST_WIRELESS,6
60:0b:03:09:08:30,-84,1,HUST_WIRELESS,6
aa:69:6c:07:90:fd,-85,1,HUST_WIRELESS_AUTO,6
00:87:46:20:fb:02,-90,1,360WiFi-FB02,6
aa:69:6c:07:90:fb,-86,1,HUST_WIRELESS,6
60:0b:03:09:08:31,-84,1,HUST_WIRELESS_AUTO,6
00:0f:e2:98:15:10,-93,1,ChinaNet,6
4a:cf:5e:50:5f:67,-83,1,ACynthia_GY,6
2a:69:6c:07:9e:45,-90,1,HUST_WIRELESS_AUTO,6
f0:b4:29:3c:68:ef,-91,1,Seven,6
2a:69:6c:07:9e:43,-92,1,HUST_WIRELESS,6
02:c2:c6:c4:41:d1,-83,1,DIRECT-sKHD-MIBOOKmsHD,6
4c:e6:76:c9:fc:00,-87,1,HongboJiangOffice,6
ea:69:6c:07:91:f1,-94,1,HUST_WIRELESS_AUTO,6
06:69:6c:0b:21:d2,-85,1,HUST_WIRELESS,6
4a:69:6c:07:96:55,-93,1,HUST_WIRELESS,6
06:69:6c:0a:bf:02,-62,1,HUST_WIRELESS,7
20:76:93:3a:ae:78,-64,1,HC5761,7
4a:69:6c:07:a1:e7,-60,1,HUST_WIRELESS_AUTO,7
2a:69:6c:05:c5:25,-70,1,HUST_WIRELESS_AUTO,7
00:0f:e2:db:26:20,-73,1,ChinaNet,7
4a:69:6c:07:a1:e5,-60,1,HUST_WIRELESS,7
2a:69:6c:05:c5:23,-70,1,HUST_WIRELESS,7
0e:69:6c:0a:bf:06,-69,1,HUST_WIRELESS_AUTO,7
06:69:6c:0a:bf:06,-71,1,HUST_WIRELESS,7
24:05:0f:9b:e7:63,-71,1,zqxll2003,7
7a:69:6c:07:96:78,-89,1,HUST_WIRELESS,7
88:25:93:58:06:63,-83,1,TP-LINK_580663,7
7a:69:6c:07:96:7a,-89,1,HUST_WIRELESS_AUTO,7
0e:69:6c:0a:bf:02,-61,1,HUST_WIRELESS_AUTO,7
