BSSIDLabel,RSSLabel,RoomLabel,SSIDLabel,finLabel
06:69:6c:0a:bf:02,-55,1,HUST_WIRELESS,1
20:76:93:3a:ae:78,-63,1,HC5761,1
4a:69:6c:07:a1:e7,-57,1,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:25,-66,1,HUST_WIRELESS_AUTO,1
24:05:0f:9b:e7:63,-79,1,zqxll2003,1
08:57:00:7b:63:16,-73,1,TL-WTR9500,1
94:53:30:11:ac:12,-78,1,HP-Print-12-LaserJet Pro MFP,1
88:25:93:58:06:63,-87,1,TP-LINK_580663,1
00:0f:e2:db:26:20,-68,1,ChinaNet,1
4a:69:6c:07:a1:e5,-58,1,HUST_WIRELESS,1
06:69:6c:0a:bf:06,-71,1,HUST_WIRELESS,1
60:0b:03:0e:2b:b0,-80,1,HUST_WIRELESS,1
f8:da:0c:73:0f:e7,-70,1,yang,1
0e:69:6c:0a:bf:06,-70,1,HUST_WIRELESS_AUTO,1
2a:69:6c:05:c5:23,-65,1,HUST_WIRELESS,1
6a:69:6c:05:c3:09,-87,1,HUST_WIRELESS_AUTO,1
06:69:6c:0a:be:fa,-85,1,HUST_WIRELESS,1
60:0b:03:0e:2b:b1,-79,1,HUST_WIRELESS_AUTO,1
42:49:0f:06:46:77,-80,1,DIRECT-77-HP M427 LaserJet,1
7a:69:6c:07:96:7a,-94,1,HUST_WIRELESS_AUTO,1
7a:69:6c:07:96:78,-92,1,HUST_WIRELESS,1
4a:cf:5e:50:5f:67,-84,1,ACynthia_GY,1
0e:69:6c:0b:21:d2,-85,1,HUST_WIRELESS_AUTO,1
b0:d5:9d:8c:2d:b1,-89,1,360免费WiFi-B1,1
06:69:6c:0b:21:d2,-86,1,HUST_WIRELESS,1
6a:69:6c:05:c3:07,-86,1,HUST_WIRELESS,1
f0:b4:29:3c:68:ef,-91,1,Seven,1
0e:69:6c:0a:bf:02,-57,1,HUST_WIRELESS_AUTO,1
60:0b:03:09:08:31,-81,1,HUST_WIRELESS_AUTO,1
4c:e6:76:c9:fc:00,-83,1,HongboJiangOffice,1
0e:69:6c:0a:be:fa,-84,1,HUST_WIRELESS_AUTO,1
aa:69:6c:07:90:fd,-85,1,HUST_WIRELESS_AUTO,1
aa:69:6c:07:90:fb,-85,1,HUST_WIRELESS,1
06:69:6c:0a:c0:86,-88,1,HUST_WIRELESS,1
ea:69:6c:07:91:f1,-91,1,HUST_WIRELESS_AUTO,1
06:69:6c:0a:bf:02,-56,1,HUST_WIRELESS,2
20:76:93:3a:ae:78,-63,1,HC5761,2
4a:69:6c:07:a1:e7,-68,1,HUST_WIRELESS_AUTO,2
2a:69:6c:05:c5:25,-71,1,HUST_WIRELESS_AUTO,2
24:05:0f:9b:e7:63,-78,1,zqxll2003,2
08:57:00:7b:63:16,-82,1,TL-WTR9500,2
94:53:30:11:ac:12,-85,1,HP-Print-12-LaserJet Pro MFP,2
88:25:93:58:06:63,-86,1,TP-LINK_580663,2
00:0f:e2:db:26:20,-70,1,ChinaNet,2
4a:69:6c:07:a1:e5,-68,1,HUST_WIRELESS,2
06:69:6c:0a:bf:06,-75,1,HUST_WIRELESS,2
60:0b:03:0e:2b:b0,-81,1,HUST_WIRELESS,2
0e:69:6c:0a:bf:02,-55,1,HUST_WIRELESS_AUTO,2
f8:da:0c:73:0f:e7,-67,1,yang,2
0e:69:6c:0a:bf:06,-74,1,HUST_WIRELESS_AUTO,2
60:0b:03:09:08:31,-78,1,HUST_WIRELESS_AUTO,2
0e:69:6c:0b:21:d2,-86,1,HUST_WIRELESS_AUTO,2
0e:69:6c:0b:22:8a,-86,1,HUST_WIRELESS_AUTO,2
4c:e6:76:c9:fc:00,-87,1,HongboJiangOffice,2
00:87:46:20:fb:02,-91,1,360WiFi-FB02,2
2a:69:6c:05:c5:23,-71,1,HUST_WIRELESS,2
06:69:6c:0b:22:8a,-87,1,HUST_WIRELESS,2
fa:69:6c:07:95:f0,-93,1,HUST_WIRELESS,2
fa:69:6c:07:95:00,-95,1,HUST_WIRELESS,2
42:49:0f:06:46:77,-88,1,DIRECT-77-HP M427 LaserJet,2
aa:69:6c:07:90:fd,-87,1,HUST_WIRELESS_AUTO,2
aa:69:6c:05:c4:5d,-91,1,HUST_WIRELESS_AUTO,2
6a:69:6c:05:c3:07,-87,1,HUST_WIRELESS,2
ea:69:6c:07:91:f1,-91,1,HUST_WIRELESS_AUTO,2
